# TimeStamp   : 2020-02-23 22:31:18
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Value>0</Value>    
#     </Input>
#     <OptRange>
#         <Name>fractN</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
       94,   8620.00,     91.70,      1.45,      1.49,      0.19,      1.28,           1,           0,           5,           2,           0,          19,           0,           1,           0, 
       88,   8320.00,     94.55,      1.47,      1.64,      0.19,      1.28,           1,           0,           5,           2,           0,          19,           0,           3,           0, 
      229,  14350.00,     62.66,      1.32,      1.98,      0.14,      1.28,           1,           0,           4,           1,           0,          15,           0,           1,           0, 
       35,   4610.00,    131.71,      1.83,      2.51,      0.28,      1.27,           1,           0,           8,           1,           0,          46,           0,           1,           0, 
      203,  11320.00,     55.76,      1.28,      2.19,      0.13,      1.27,           1,           0,           3,           1,           0,          36,           0,           2,           0, 
      125,   8990.00,     71.92,      1.40,      1.09,      0.20,      1.26,           1,           0,           8,           2,           0,          13,           0,           3,           0, 
       63,   8860.00,    140.63,      1.71,      2.16,      0.33,      1.26,           1,           0,           5,           1,           0,           8,           0,           4,           0, 
      409,  20430.00,     49.95,      1.19,      1.99,      0.09,      1.26,           1,           0,           6,           2,           0,          26,           0,           4,           0, 
       68,   7250.00,    106.62,      1.64,      2.96,      0.28,      1.25,           1,           0,           8,           2,           0,          26,           0,           3,           0, 
       55,   6790.00,    123.45,      1.69,      1.83,      0.31,      1.25,           1,           0,           5,           1,           0,           9,           0,           4,           0, 
      248,  14270.00,     57.54,      1.24,      1.66,      0.11,      1.25,           1,           0,           6,           2,           0,          36,           0,           5,           0, 
      336,  17260.00,     51.37,      1.22,      1.92,      0.10,      1.25,           1,           0,           3,           1,           0,          25,           0,           2,           0, 
       30,   4880.00,    162.67,      2.42,      6.59,      0.85,      1.25,           1,           0,           1,           1,           0,          35,           0,           4,           0, 
       36,   4740.00,    131.67,      2.23,      2.80,      0.58,      1.25,           1,           0,           1,           1,           0,          25,           0,           4,           0, 
