# TimeStamp   : 2020-02-23 21:10:45
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon,
      134,  11040.00,     82.39,      1.55,      3.39,      0.26,      1.75,           2,           0,           4,           1,           0,           0,          32,           3,           0,
      572,  38360.00,     67.06,      1.24,      2.87,      0.11,      1.75,           2,           0,           1,           2,           0,           0,          24,           3,           0,
      438,  36940.00,     84.34,      1.28,      2.50,      0.13,      1.75,           2,           0,           2,           2,           0,           0,          20,           1,           0,
      427,  35720.00,     83.65,      1.29,      2.37,      0.13,      1.75,           2,           0,           1,           2,           0,           0,          20,           2,           0,
      123,   9520.00,     77.40,      1.56,      3.33,      0.26,      1.75,           2,           0,           4,           1,           0,           0,           7,           3,           0,
       90,   9370.00,    104.11,      1.69,      4.15,      0.34,      1.75,           2,           0,           4,           1,           0,           0,          25,           3,           0,
      335,  27360.00,     81.67,      1.31,      3.79,      0.15,      1.74,           2,           0,           5,           2,           0,           0,          20,           1,           0,
      567,  37090.00,     65.41,      1.24,      2.49,      0.11,      1.74,           2,           0,           3,           2,           0,           0,          24,           3,           0,
      329,  27050.00,     82.22,      1.32,      3.38,      0.15,      1.74,           2,           0,           5,           2,           0,           0,          20,           2,           0,
       59,   5700.00,     96.61,      1.77,      2.51,      0.38,      1.73,           2,           0,           8,           1,           0,           0,          22,           3,           0,
      358,  30310.00,     84.66,      1.31,      4.39,      0.14,      1.72,           2,           0,           1,           2,           0,           0,          20,           5,           0,
      295,  23700.00,     80.34,      1.32,      2.65,      0.15,      1.72,           2,           0,           6,           1,           0,           0,          20,           1,           0,
      363,  28640.00,     78.90,      1.30,      4.18,      0.14,      1.72,           2,           0,           6,           2,           0,           0,          20,           2,           0,
       32,   5650.00,    176.56,      2.51,      3.34,      0.52,      1.71,           2,           0,           4,           2,           0,           0,          38,           1,           0,
      968,  46410.00,     47.94,      1.17,      2.49,      0.08,      1.71,           2,           0,           1,           2,           0,           0,           1,           1,           0,
